# Gaia DR3 passband G (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.G
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
5260.0000,6.63165524e-01
5270.0000,6.63795529e-01
5280.0000,6.64335678e-01
5290.0000,6.64734894e-01
5300.0000,6.65180853e-01
5310.0000,6.66268123e-01
5320.0000,6.67208557e-01
5330.0000,6.68146172e-01
5340.0000,6.69145477e-01
5350.0000,6.69370870e-01
5360.0000,6.69893287e-01
5370.0000,6.70337034e-01
5380.0000,6.70884594e-01
5390.0000,6.71759917e-01
5400.0000,6.72624175e-01
5410.0000,6.73233807e-01
5420.0000,6.73699106e-01
5430.0000,6.73762546e-01
5440.0000,6.73945752e-01
5450.0000,6.74601086e-01
5460.0000,6.75695142e-01
5470.0000,6.76761074e-01
5480.0000,6.76993856e-01
5490.0000,6.77374846e-01
5500.0000,6.77892686e-01
5510.0000,6.78116593e-01
5520.0000,6.78309994e-01
5530.0000,6.79798319e-01
5540.0000,6.80593478e-01
5550.0000,6.80912200e-01
5560.0000,6.81446794e-01
5570.0000,6.81945051e-01
5580.0000,6.82234503e-01
5590.0000,6.82489453e-01
5600.0000,6.83372830e-01
5610.0000,6.83572670e-01
5620.0000,6.84490942e-01
5630.0000,6.84828530e-01
5640.0000,6.85509533e-01
5650.0000,6.85967162e-01
5660.0000,6.86276681e-01
5670.0000,6.87171589e-01
5680.0000,6.87640135e-01
5690.0000,6.87385830e-01
5700.0000,6.88218588e-01
5710.0000,6.88276111e-01
5720.0000,6.88660926e-01
5730.0000,6.89091864e-01
5740.0000,6.89951441e-01
5750.0000,6.90115617e-01
5760.0000,6.90545104e-01
5770.0000,6.91100965e-01
5780.0000,6.92206906e-01
5790.0000,6.92398556e-01
5800.0000,6.92909244e-01
5810.0000,6.93808876e-01
5820.0000,6.93856543e-01
5830.0000,6.94810612e-01
5840.0000,6.94963614e-01
5850.0000,6.95048621e-01
5860.0000,6.94907946e-01
5870.0000,6.96212408e-01
5880.0000,6.96758839e-01
5890.0000,6.97678494e-01
5900.0000,6.98360314e-01
5910.0000,6.98097155e-01
5920.0000,6.97535735e-01
5930.0000,6.98671173e-01
5940.0000,6.99129682e-01
5950.0000,6.99648804e-01
5960.0000,7.00919796e-01
5970.0000,7.00475939e-01
5980.0000,7.00833160e-01
5990.0000,7.00785329e-01
6000.0000,7.01281364e-01
6010.0000,7.02978763e-01
6020.0000,7.02561423e-01
6030.0000,7.02903719e-01
6040.0000,7.03730632e-01
6050.0000,7.03629981e-01
6060.0000,7.04114710e-01
6070.0000,7.04179758e-01
6080.0000,7.05022411e-01
6090.0000,7.05677010e-01
6100.0000,7.05926392e-01
6110.0000,7.06855634e-01
6120.0000,7.06706307e-01
6130.0000,7.07329700e-01
6140.0000,7.07692222e-01
6150.0000,7.08372072e-01
6160.0000,7.08807335e-01
6170.0000,7.08917813e-01
6180.0000,7.08520426e-01
6190.0000,7.09231182e-01
6200.0000,7.09945761e-01
6210.0000,7.10313233e-01
6220.0000,7.11336132e-01
6230.0000,7.10919514e-01
6240.0000,7.10400041e-01
6250.0000,7.10869704e-01
6260.0000,7.11196891e-01
6270.0000,7.11807813e-01
6280.0000,7.11904674e-01
6290.0000,7.12401128e-01
6300.0000,7.12286557e-01
6310.0000,7.12851880e-01
6320.0000,7.13771318e-01
