# Gaia DR3 passband BP (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.Gbp
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
5310.0000,6.22999495e-01
5320.0000,6.22592485e-01
5330.0000,6.22259676e-01
5340.0000,6.22061721e-01
5350.0000,6.21221392e-01
5360.0000,6.20734428e-01
5370.0000,6.20254650e-01
5380.0000,6.19949449e-01
5390.0000,6.20024330e-01
5400.0000,6.20168751e-01
5410.0000,6.20156406e-01
5420.0000,6.20094685e-01
5430.0000,6.19748512e-01
5440.0000,6.19594371e-01
5450.0000,6.19955482e-01
5460.0000,6.20800221e-01
5470.0000,6.21696432e-01
5480.0000,6.21903020e-01
5490.0000,6.22291358e-01
5500.0000,6.22688637e-01
5510.0000,6.22673936e-01
5520.0000,6.22488654e-01
5530.0000,6.23351843e-01
5540.0000,6.23439440e-01
5550.0000,6.22951427e-01
5560.0000,6.22524834e-01
5570.0000,6.21930222e-01
5580.0000,6.21015987e-01
5590.0000,6.19944641e-01
5600.0000,6.19327372e-01
5610.0000,6.18055506e-01
5620.0000,6.17419906e-01
5630.0000,6.16247289e-01
5640.0000,6.15369731e-01
5650.0000,6.14279326e-01
5660.0000,6.13045729e-01
5670.0000,6.12320396e-01
5680.0000,6.11200481e-01
5690.0000,6.09421475e-01
5700.0000,6.08587274e-01
5710.0000,6.07049120e-01
5720.0000,6.05884592e-01
5730.0000,6.05187274e-01
5740.0000,6.05313069e-01
5750.0000,6.05268590e-01
5760.0000,6.05894731e-01
5770.0000,6.07065131e-01
5780.0000,6.09151193e-01
5790.0000,6.10863647e-01
5800.0000,6.13287749e-01
5810.0000,6.16485610e-01
5820.0000,6.19356389e-01
5830.0000,6.23466374e-01
5840.0000,6.27265648e-01
5850.0000,6.30766480e-01
5860.0000,6.33546314e-01
5870.0000,6.37132151e-01
5880.0000,6.39512166e-01
5890.0000,6.41722015e-01
5900.0000,6.43202692e-01
5910.0000,6.43306317e-01
5920.0000,6.42637309e-01
5930.0000,6.43043740e-01
5940.0000,6.42341725e-01
5950.0000,6.41217847e-01
5960.0000,6.40308326e-01
5970.0000,6.37371984e-01
5980.0000,6.34714950e-01
5990.0000,6.31253118e-01
6000.0000,6.27856079e-01
6010.0000,6.25130567e-01
6020.0000,6.20818510e-01
6030.0000,6.17806737e-01
6040.0000,6.15826556e-01
6050.0000,6.13625406e-01
6060.0000,6.12503210e-01
6070.0000,6.11550345e-01
6080.0000,6.11800173e-01
6090.0000,6.12404288e-01
6100.0000,6.13169161e-01
6110.0000,6.15032031e-01
6120.0000,6.16458678e-01
6130.0000,6.19059805e-01
6140.0000,6.21930198e-01
6150.0000,6.25579651e-01
6160.0000,6.29519224e-01
6170.0000,6.33682267e-01
6180.0000,6.37903928e-01
6190.0000,6.43645113e-01
6200.0000,6.49530382e-01
6210.0000,6.54457810e-01
6220.0000,6.59320954e-01
6230.0000,6.62172748e-01
6240.0000,6.64236833e-01
6250.0000,6.66534979e-01
6260.0000,6.68010993e-01
6270.0000,6.69063943e-01
6280.0000,6.68947536e-01
6290.0000,6.68528803e-01
6300.0000,6.66866457e-01
6310.0000,6.65185307e-01
6320.0000,6.63192663e-01
6330.0000,6.59649829e-01
6340.0000,6.55741785e-01
6350.0000,6.50929127e-01
6360.0000,6.46427993e-01
6370.0000,6.40821305e-01
6380.0000,6.35157012e-01
6390.0000,6.27950218e-01
6400.0000,6.20667611e-01
6410.0000,6.13058786e-01
6420.0000,6.05465373e-01
6430.0000,5.97227840e-01
6440.0000,5.88272243e-01
6450.0000,5.78699833e-01
6460.0000,5.69215236e-01
6470.0000,5.60134530e-01
6480.0000,5.49846211e-01
6490.0000,5.38892059e-01
6500.0000,5.28381533e-01
