# Gaia DR3 passband RP (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.Grp
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
8160.0000,6.96403737e-01
8170.0000,6.94931033e-01
8180.0000,6.94217419e-01
8190.0000,6.92814859e-01
8200.0000,6.90464415e-01
8210.0000,6.89373845e-01
8220.0000,6.88244735e-01
8230.0000,6.86825967e-01
8240.0000,6.85778518e-01
8250.0000,6.83017896e-01
8260.0000,6.81721426e-01
8270.0000,6.79851960e-01
8280.0000,6.78107696e-01
8290.0000,6.76209938e-01
8300.0000,6.75018496e-01
8310.0000,6.73710351e-01
8320.0000,6.71397570e-01
8330.0000,6.69966893e-01
8340.0000,6.68895327e-01
8350.0000,6.66883106e-01
8360.0000,6.65359978e-01
8370.0000,6.61003683e-01
8380.0000,6.59287732e-01
8390.0000,6.57443751e-01
8400.0000,6.55245302e-01
8410.0000,6.52879106e-01
8420.0000,6.49910845e-01
8430.0000,6.48182851e-01
8440.0000,6.47767170e-01
8450.0000,6.43749713e-01
8460.0000,6.40826913e-01
8470.0000,6.37501423e-01
8480.0000,6.34389967e-01
8490.0000,6.32650221e-01
8500.0000,6.27862580e-01
8510.0000,6.26414475e-01
8520.0000,6.23607819e-01
8530.0000,6.19551068e-01
8540.0000,6.17868826e-01
8550.0000,6.14220302e-01
8560.0000,6.11964486e-01
8570.0000,6.09289305e-01
8580.0000,6.04668734e-01
8590.0000,6.01439376e-01
8600.0000,5.98486591e-01
8610.0000,5.94649618e-01
8620.0000,5.92796442e-01
8630.0000,5.89277625e-01
8640.0000,5.85986777e-01
8650.0000,5.81745683e-01
8660.0000,5.79366492e-01
8670.0000,5.75540889e-01
8680.0000,5.69490317e-01
8690.0000,5.67792894e-01
8700.0000,5.66429329e-01
8710.0000,5.61923905e-01
8720.0000,5.58618198e-01
8730.0000,5.58354062e-01
8740.0000,5.53640545e-01
8750.0000,5.50574328e-01
8760.0000,5.47561359e-01
8770.0000,5.43062830e-01
8780.0000,5.41321906e-01
8790.0000,5.35553318e-01
8800.0000,5.32055430e-01
8810.0000,5.30394443e-01
8820.0000,5.25946605e-01
8830.0000,5.24029455e-01
8840.0000,5.19829411e-01
8850.0000,5.15689753e-01
8860.0000,5.14196406e-01
8870.0000,5.09592042e-01
8880.0000,5.07531179e-01
8890.0000,5.04865337e-01
8900.0000,4.99840376e-01
8910.0000,4.97484320e-01
8920.0000,4.93148965e-01
8930.0000,4.88356879e-01
8940.0000,4.86782411e-01
8950.0000,4.81714489e-01
8960.0000,4.78085444e-01
8970.0000,4.76087434e-01
8980.0000,4.71349359e-01
8990.0000,4.66669272e-01
9000.0000,4.63183085e-01
9010.0000,4.59059557e-01
9020.0000,4.54737171e-01
9030.0000,4.51097030e-01
9040.0000,4.47586163e-01
9050.0000,4.43314996e-01
9060.0000,4.40479278e-01
9070.0000,4.35472181e-01
